Review,Sentiment,Probabilities
Good app for daily Quran recitation and learning.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Perfect,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah very good app but it would have been better if it had paid audio,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
May God reward you with goodness in both worlds,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"It is so easy to read and listen to the Qur'an through this application. Simple and easy to use. Thank you to the makers of this application, may Allah SWT bless and bless you",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Phenomenal,positive,"{'positive': 0.9999, 'neutral': 0.0, 'negative': 0.0}"
"I like it, very nice app.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very good application,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Excellent,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Helpfully software...excellent,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Best app for recitation, must go blindly, I used a app in my PC and I am searching that type of app for Android this is the app, repeat, stick on the Verse, etc very good app if you want to recite Al Qur'an then definitely go blindly",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Unable to open tafsir like before,negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 0.9999}"
I got it very helpful,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Awesome,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very comfortably,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Amazing. I was looking for an app like this for several years but just got it. Sarf O Nahv Meaning of each word and its root with English grammar and a lots of things,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
MashaAllah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Very good, good luck",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
God bless you ❤️🤲🏼,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"The most intellectual one,,they used the most needful tech for this,,",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
There are many sentences.,neutral,"{'positive': 0.0001, 'neutral': 0.9999, 'negative': 0.0}"
May God reward you,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Very good, thank you.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"MashaAllah, Thanks to the developer for making this amazing app.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"At the moment, this has become the best application for memorizing the Quran for me. It is especially convenient to indicate in the audio exactly how many verses you need, how many times they will be repeated, as well as how many times each verse will be repeated. It’s also very convenient that there is a translation of each individual word, which allows you to take verbs and also study words separately for use in conversation",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Great app !!!,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Besttt,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
An excellent App for reading and understanding the Holy Quran may Allah(SWT) help you in developing the application,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah!,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Beautiful ❤️ app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
excellent,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
😍😙,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Alhamdulillah, this is a amazing app.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
May God reward you,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Like very much this may allah reward them with jannah those prepared this app.developer,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"A useful application, may God reward its owner",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Perfect,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Alhamdulillah found this app very useful. Only request i have is to add all the essential duas, such as, dua Masura, Sana, Tashahhud etc.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It has been an amazing app to read the Quran. the tafsir part is apt to reflect on the meaning of verses,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Prominent,neutral,"{'positive': 0.0002, 'neutral': 0.9998, 'negative': 0.0}"
Mashallah,positive,"{'positive': 0.9999, 'neutral': 0.0, 'negative': 0.0}"
Very good app. But the word-by-word translation into French is lacking. Thanks for reviewing this.,negative,"{'positive': 0.0004, 'neutral': 0.0, 'negative': 0.9996}"
Really like!,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Mashallah God bless you,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
The app is really great!,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very good and Handy,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Great app. Well done, may Allah reward you greatly here and in the hereafter. thank you very much for your work.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
nice ❤️❤️,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Subhanallah such a helpful app must download,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
💖,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
🤍 This Al Quran app is Maasha Allah 🤍😊 May The Almighty Allah bless anyone that contributed in bringing up this application Amiin thumma Amiin 🙏😊,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very satisfied. But the search could be improved a bit more.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Wow what a beautiful Quran app,I enjoy these app,I recommended it to all my Muslim brother and sister in islam",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I have to say it's one of the best apps I've come across you can download recitations from different qari for one surah and best of all infinity repeat until you get the aya right. May Allah bless you and us all. Amin,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Baarakkallahu fiikum,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah. I find Appa very helpful in understanding Al Quran. T you.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
A very wonderful application. I advise everyone to download it. May God reward them well,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"This program is excellent, God willing",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Great app, especially the verse bookmark system, I was looking for a system like this. One suggestion - it would be nice to have a separate bookmark button next to the verse for bookmarking verses. Then there would be fewer interruptions between recitations.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Baraka Allah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah very beautiful app 💖 So much options in there 👍🏻,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"It is a very good app, the Best part about it is that it doesn't have ads, and it is easy to plan a khitam.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"It has been a great app to deepen the connection with Quran. Tafsir, and daily verse reminders are helping me to understand the Quran.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Facing difficulty while playing audio. When Play button is pressed, It ask to delete the existing downloaded file. After delete it tries to download the sura and after successful download it again ask to delete the downloaded file and the loop continues.",negative,"{'positive': 0.0, 'neutral': 0.0001, 'negative': 0.9999}"
Great!,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"We have gained a lot of knowledge from this application. May Allah give blessings, wide fortune, and make everything easy for those who create and manage this application.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
God bless you very much,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This quran is so beautiful 😊app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"The app is excellent I used for a long time,it is easy any one can use it I give it 5 🌟 s",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Completely marked with tajwid and punctuation, the painting can be adjusted, complete with nahwu, just adjust it, the display can also be per verse, it can be 1 full page, enough features to help you read the Koran",neutral,"{'positive': 0.0001, 'neutral': 0.9999, 'negative': 0.0}"
Nice apps,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Mashallah beautiful 😍😍😍 app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"I have no words to describe about this app, ma shaa allah too good, alhamdulilah my day starts and ends with this app, jazakh allah khair to the entire team. I would recommend this app for every Muslim of this ummah.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I've found it very useful.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
MaShaAllah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Simple and easy to learn,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good app ..Tamil translation also available,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best app ever in my opinion,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah it's a wonderful app very helpful and easy to use..May ALLAH reward you with the best reward you deserve it..jazakallahu khair✨️🌼,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"I'm still discovering it, but so far, it's great, great, great. I advise programmers if they want to update something, it is to add interpretations of the ancient Arab commentators of the Holy Book, and the best program to draw from it is ((Contemplation and Action))👌💙, please do not forget the best thing about the program is its simplicity. 👉❤️",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Very good and very helpful. Hopefully this will last and not reduce its quality and continue to be useful. Anyway, this is highly recommended. MashaAllah.. Ta barakallah",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"I liked it very much. Thank God, there was a program for the same students. There are many opportunities.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Subhan Allah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Great app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It's extremely helpful... I will make dua for whoever made this app in sha Allah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
The ui is very user-friendly and well thought off.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
God bless you,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Like,neutral,"{'positive': 0.0002, 'neutral': 0.9998, 'negative': 0.0}"
May God bless you,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Excellent app. Just a few bugs with new update. If 2 reciters selected and you pause Adio or select next ayah will not play both reciters and will revert to last played reciter. Also last ayah of surah only plays one reciter,negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 0.9999}"
Very good app elhamdulilah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
👍👍,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best thing I've ever seen in my lifeee🤍,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Extremely good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
May God be pleased,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Mashallah, Blessed be the Most Merciful, very, very excellent",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"This app is very good,useful,important. one who wants to read quran its Very useful for them.you can read in any print, with meaning in almost any language, learn word by word meaning, can hear your favourite qari voice,also can read famous tasfir..and You'll get tajweed sign print too So I think It's very beautiful. 🖤🖤🖤",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Prominent,neutral,"{'positive': 0.0002, 'neutral': 0.9998, 'negative': 0.0}"
Me love God new and make me like this app too Alhamdulillh,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Ma sha Allah good work.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best Quran App that I've used so far. Could be much better if the Tafsir was a longer version.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I advise every Muslim who wants to memorize the Holy Qur’an to download this beautiful application,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
The best,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This app is so amazing you can find any mufti sound furthermore most interesting I found you can play any surah and can lock your mobile it cotinues until surah is finish I repeat this many times. Thanks to one who developed this app. May Allah bless him/her whoever developed this app. AMEEN SUMMA AMEEN YA RABB,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Good application, God bless you",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Alhamdulillah, this application satisfies me and my family, it contains complete instructions for worship, academics, inspiration in all aspects of life, this application also makes it easy to answer complicated questions quickly that I can't find anywhere else, especially how to find comprehensive meanings that connect the meanings of words. in one point, the creator is the keeper of creation and unlimited love. So this application is worthy of being owned by every human being",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Thanks for this app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Alhamdulillah, very useful",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Very good experience, a lot of options available and on top of all, portable",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good experience,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Super excellent. JazakumuLloohu Khayr,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"When i open in tafsir/ mode, aplication chrass and close",neutral,"{'positive': 0.0001, 'neutral': 0.9999, 'negative': 0.0}"
