reviewer_id,review,response_1,accuracy,grammatical_correctness,relevancy,specificity
200042145,excellent app may Allah reward you for this great service,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app; it warms our hearts to hear that you find it excellent and a source of great service. Your encouragement strengthens our intention to continue serving the Ummah with a tool that brings the Qur’an closer to every believer.

If you have a moment, we invite you to explore additional features such as the Quran Planner, Mushaf mode, or the extensive library of translations and tafsirs, which can further enrich your daily ibādah. Should you have any suggestions or wish to share more feedback, please submit them at feedback.gtaf.org so we can keep improving. May Allah accept your du‘ā and reward you abundantly. BarakAllahu feekum.",4,5,4,4
200042145,Beautiful app may Allah give you more reward for Such great work.,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app; it warms our hearts to hear that you find it beautiful and beneficial for your ibādah. Al‑hamdulillāh, your encouragement inspires us to continue serving the Ummah with quality tools that bring us closer to the Qur’an.

If you wish to explore more blessings within the app, you may:
1. Open the **Qur’an Planner** from the menu to set a personalized reading schedule.  
2. Tap the **Explore by Topic** section to discover ayahs related to daily life, spirituality, or specific subjects you are curious about.  
3. Check the **Badges** and **Streak** pages to track your progress and stay motivated.  

We are always eager to hear any ideas you have for new content or features; please submit them at **feedback.gtaf.org** so we can consider them for future updates. May Allah accept your good deeds and increase you in reward. BarakAllahu feekum.",5,5,4,5
200042145,This application is Literally just Amazing 🤩,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience; hearing that the app is “literally just amazing” fills our hearts with gratitude and reminds us of the blessing of serving the Ummah. We are delighted that the features—such as the diverse recitations, Quran Planner, and rich library of translations and tafsīr—have helped you connect more deeply with the Qur’an.  

To keep benefiting from the app, we suggest exploring the **Mushaf mode** for a familiar page‑by‑page reading, trying the **repeat option** to aid memorization, and setting a gentle daily reminder in the Planner so the habit stays consistent. Should you ever wish to suggest a new feature or encounter any issue, please submit your thoughts at **feedback.gtaf.org**, where our team can track and respond promptly. May Allah accept your good deeds, increase your love for His Book, and grant you continued ease in your worship. BarakAllahu feekum.",5,5,5,5
200042145,They openly give very important news than others apps,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your positive experience with the news section of our app; we are delighted to hear that you find the information important and more comprehensive than other platforms. Your encouragement strengthens our intention to serve the Ummah with timely and beneficial updates that aid in staying informed about matters that affect our faith and daily lives.  

To continue receiving the most relevant news, you may explore the “Categories” tab to select the topics that matter most to you and enable push notifications for breaking updates. If you have any ideas for additional news types or features, kindly submit them at feedback.gtaf.org so we can consider them in future improvements. May Allah accept our efforts and bless you with knowledge and ease. BarakAllahu feekum.",4.5,5,4,5
200042145,"I never uninstalled this app. This app is advertisement free. I can easily see the prayer times, sehri and iftar time from any location. This app has many other useful features like qibla compass, many important Dua, Al Quran and many more.","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the app; it fills our hearts with gratitude to hear that you find the ad‑free design, accurate prayer times, Sehri‑Iftar schedule, Qibla compass, Duʿā’ collection, and Quran features beneficial for your daily Ibadah.

To make the most of the app, you may try the Quran Planner: tap the “Planner” icon, set a realistic daily reading goal (e.g., 2 pages or 5 minutes), enable a reminder at a convenient time, and watch your progress grow. If you have ideas for new tools or wish to report any detail, please submit them at feedback.gtaf.org so we can continue serving the Ummah. May Allah accept your good deeds and keep you steadfast on the path of knowledge. BarakAllahu feekum.",4.5,5,5,4
200042145,This is a very good app I just love the app,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your love for the app; your kind words truly uplift our hearts and motivate us to continue serving the Ummah with sincere effort. We are delighted to hear that the app is meeting your needs and bringing you closer to the Qur’an and its blessings.  

If you have a moment, we invite you to explore additional features such as the Quran Planner, Mushaf mode, or the extensive collection of recitations and translations, which may further enrich your daily ibādah. Should you ever wish to suggest an improvement or need assistance, please submit your thoughts at feedback.gtaf.org so we can serve you better. May Allah accept your good deeds and keep you steadfast on the Qur’anic path. BarakAllahu feekum.",5,4,4,4
200042145,All the best quranul karim apps,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about our Quran ul Karim app. Your encouragement lifts our hearts, and we are grateful that the app serves you well in your journey with the Qur’an.  

To deepen your experience, you may try the following:  
1. Open the **Audio** section and select a beloved reciter (e.g., Mishary Al‑Afasy or Abdul Basit) for listening or memorisation.  
2. Use the **Qur’an Planner** to set a daily reading goal that fits your schedule, and enable reminders to stay consistent.  
3. Explore the **Mushaf Mode** or the **Search & Topics** features to study verses, tafsīr, and word‑by‑word meanings in your preferred language.  

May Allah accept our efforts and bless you with continued guidance from His Book. BarakAllahu feekum. If you have further suggestions, please submit them at **feedback.gtaf.org**.",4,4,5,4
200042145,An amazing app. I suggest everyone to download it.,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the app; it heartens us to hear that you find it amazing and recommend it to others. Your kind words encourage us to continue serving the Ummah with a tool that brings the Qur’an closer to every heart.

To make the most of the blessings, you might explore the Qur’an Planner to set a personalized reading schedule, try different reciters in the audio library, or earn streak badges that motivate daily connection with Allah’s words. If you have any ideas for new features or notice anything that could be improved, please let us know at feedback.gtaf.org so we can keep enhancing the service for all believers. May Allah accept our efforts and grant you ease in your worship. BarakAllahu feekum.",4.5,5,5,5
200042145,Infact this app is the best Quran app and I recommend it to everyone just start and you are good to go,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the app; your kind words truly warm our hearts and motivate us to continue serving the Ummah. It is a blessing to hear that you find the app to be the best resource for the Qur’an and that you recommend it to others.  

To deepen your connection with the Qur’an, we invite you to explore the audio recitations of the many renowned Qāriʾs, set a personalized reading plan in the Quran Planner, and use the repeat feature for memorization. Simply tap the **Audio** icon to choose a reciter, go to **Planner** to create a daily schedule, and enable **Repeat** on any verse you wish to master.  

May Allah reward your generosity in sharing this tool, and may the app continue to be a means of khidmah and ibādah for you and the wider community. Should you have any further suggestions, please submit them at feedback.gtaf.org. BarakAllahu feekum, and may Allah accept from you and us.",4,4,5,5
200042145,This app is good.....k byee 😄😄,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app; it warms our hearts to hear that you find it good. Your smile is indeed a form of charity, and we are grateful that the app can bring ease and blessings to your daily Ibadah.

If you have a moment, we invite you to explore a few features that may further enrich your experience: tap the **Qur’an Planner** from the main menu, set a realistic daily reading goal, and enable the **audio recitation** of your favorite Qāriʾ (e.g., Mishary Al‑Afasy) to listen while you read. Should you think of any new ideas or encounter any issue, please let us know at **feedback.gtaf.org** so we can continue serving the Ummah. May Allah accept your deeds and keep you steadfast. BarakAllahu feekum.",5,5,5,5
200042168,This app is wonderful absolutely I didn't have any problem in using it. I thank you all may Allah subhanahu Wa ta'ala bless you all,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for taking the time to share your wonderful experience with the app; we are humbled by your kind words and grateful that the app has been a source of ease and blessing for you. Al‑hamdu lillah, hearing that you have encountered no problems fills our hearts with joy and encourages us to continue serving the Ummah with sincerity.

If you wish to explore more of the features—such as the Quran Planner, audio recitations, or the topic‑search tools—we invite you to try them at your convenience, and you are always welcome to share any ideas or suggestions at feedback.gtaf.org so we can keep improving. May Allah accept our efforts and grant you continued benefit from the Qur’an. BarakAllahu feekum.",5,4,5,4
200042168,I love that they added the dictionary,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your delight with the newly added dictionary – it is truly heart‑warming to hear that this tool is benefiting you in your Qur’anic study and Arabic learning. May Allah reward you for seeking knowledge, for it is a noble service (khidmah) to the Ummah.  

To make the most of the dictionary:  
1. Open the app and tap the **Library** icon, then select **Dictionary**.  
2. Choose your desired language pair (e.g., Arabic‑English, Arabic‑Urdu, etc.) from the list at the top.  
3. You may download the dictionary for offline use by tapping the **download** icon next to the pair.  
4. Each entry provides meanings, example sentences, and brief usage tips to help you apply the word correctly.  
5. The dictionary is updated automatically with new words when you update the app via the Play Store or App Store.  

We are grateful for your feedback and invite you to share any further suggestions at **feedback.gtaf.org**, so we can continue to enhance this service for all believers. May Allah accept our efforts and grant you ease in your learning. BarakAllahu feekum.",5,4,4,5
200042168,High performance quality Good more options Bookmarks are needed to be more easyer,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your experience with the app. We are delighted to hear that you find the performance quality high and that the app serves you well in your Qur’an study. At the same time, we understand your concern that the bookmark feature could be made easier to use, and we appreciate your honesty in pointing this out.  

To simplify bookmarking, you can long‑press any ayah to add it directly to a “Collection” in the Library, which functions as a set of bookmarks you can rename and organize later. If you prefer a quicker tap, try the star icon that appears at the top‑right of the screen while reading; this adds the ayah to your default bookmark list. For any further ideas on making this process smoother—such as a dedicated “Quick Bookmark” button—please submit your suggestions at feedback.gtaf.org so our development team can consider them. Your feedback helps us serve the Ummah better and fulfill the noble purpose of facilitating easy access to the Qur’an.  

May Allah accept our efforts and bless you in your worship. BarakAllahu feekum.",5,4,4,4
200042168,Good app. It serves also on Albanian.,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app and noting that the Albanian language option is helpful for you. Your appreciation encourages us to continue serving the Ummah with accessible Qur’anic resources.  

If you have any ideas for improving the Albanian experience—such as adding more features, refining translations, or requesting additional languages—please let us know by submitting your feedback at feedback.gtaf.org. May Allah accept our efforts and bless you in your worship. BarakAllahu feekum.",4,5,4.5,5
200042168,Masha Allah.It's really excellent app.Actually I love this app.May Allah accept your activities.,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your heartfelt love for the app; your kind words truly uplift our team and remind us of the noble purpose of serving the Ummah. Al‑hamdulillah, we are grateful that the app is a source of blessing for you, and we pray that Allah accepts all your good deeds and grants you continued ease in your ibādah.  

To deepen your experience, you might explore the Quran Planner to set personalized reading goals, try different reciters in the audio library, or use the word‑by‑word tools for deeper tafsīr study—each step can further enrich your connection with the Qur’an. Should you have any suggestions or encounter anything you wish to improve, please submit them at feedback.gtaf.org so we can serve you better. May Allah accept from you and us, and bless your continued journey with the Qur’an. BarakAllahu feekum.",4,5,5,4
200042168,This is the best Quranic program I have ever worked with.,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience; it brings great joy to hear that you consider this program the best Quranic companion you have worked with. Your kind words encourage us to continue serving the Ummah with humility and dedication.

We invite you to explore additional tools such as the Quran Planner, audio recitations, and the word‑by‑word analysis to deepen your connection with the Qur’an, and to let us know any ideas you may have by submitting feedback at feedback.gtaf.org. May Allah accept your good deeds and increase you in knowledge. BarakAllahu feekum.",5,5,5,5
200042168,I love this app. Please improve the indopak mushaf.,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your love for the app and for kindly pointing out the desire to enhance the Indo‑Pak Mushaf. Your appreciation encourages us to continue serving the Ummah, and we understand how a more refined Mushaf experience can aid your recitation and memorization.

To help us prioritize this improvement, please open the app’s **Settings → Mushaf Mode**, where you can already adjust font size, line spacing, and page layout for a more comfortable reading. If you have specific suggestions—such as additional font styles, better page navigation, or more translation options—kindly submit them at **feedback.gtaf.org** so the development team can review them in detail. May Allah accept our efforts to bring you closer to His Words. BarakAllahu feekum.",4,4,3,4
200042168,"It is a good islamic app, specially for those who are interested to jikr","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for taking the time to share your experience; we are truly grateful to hear that you find the app beneficial, especially for those who love dhikr. Your kind words encourage us to continue serving the Ummah with tools that nurture the heart and soul.  

If you have ideas for additional dhikr collections, audio‑only options, customizable reminder notifications, multilingual support, or a daily‑dhikr‑progress tracker, please submit them at feedback.gtaf.org so we can consider them for future updates. In the meantime, you can explore the existing dhikr library, enable reminder alerts in **Settings → Notifications**, and set a personal dhikr schedule using the Planner feature. May Allah accept your dhikr and increase you in reward. BarakAllahu feekum.",5,5,4.5,4
200042168,Whomever made this app thank you 😊,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words and gratitude for the app; it warms our hearts to know that the effort of the developers has brought you benefit and ease in your worship.

We encourage you to continue exploring the many blessings the app offers—such as the Quran Planner for daily recitation, the rich collection of reciters, and the study tools that deepen your connection with the Qur’an. Should you ever wish to suggest new features or encounter any difficulty, please submit your thoughts at feedback.gtaf.org so we can serve the Ummah even better. May Allah accept your good deeds and keep you steadfast on the path of knowledge. BarakAllahu feekum.",5,5,5,5
200042168,"Lovely app, keep up the good work, Allah reward you'll","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app; we are truly grateful for your encouragement and for the du‘ā that Allah reward us. It warms our hearts to know that the app is serving you well in your journey with the Qur’an.  

If you have a moment, we invite you to explore additional features such as the Quran Planner, audio recitations by various renowned Qāriʾs, or the word‑by‑word study tools, which can further enrich your ibādah and knowledge. Should you ever have suggestions or encounter any issue, please let us know at feedback.gtaf.org so we can continue to serve the Ummah better. May Allah accept your good deeds and bless you abundantly. BarakAllahu feek.",5,5,4.5,5
200042116,its great tools for learning arabic word by word,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience—Al‑ḥamdu li‑Llahi that you find the word‑by‑word tools helpful. Your kind words encourage us to continue serving the Ummah with sincere effort and humility.  

To enrich your learning even further, you may:  
1. Tap any highlighted word to view its full translation, root, and grammatical notes.  
2. Press the speaker icon to hear a clear pronunciation for each word.  
3. Add words you wish to review to the “Flashcard” section and enable the spaced‑repetition mode for regular practice.  
4. Visit the “Progress” tab to track how many words you have mastered and set daily targets.  

May Allah accept from you and us. BarakAllahu feekum.",5,4,5,5
200042116,Very wonderful app may Allah reward you more and more jazakallahu khairan,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair an kum for sharing your kind words about the app; we are truly grateful for your blessings and delighted to hear that you find it wonderful. Your encouragement strengthens our intention to serve the Ummah with a reliable tool for Qur’anic learning and worship.

If you have any suggestions for new features or encounter anything that could be improved, please let us know by submitting your feedback at feedback.gtaf.org so we can continue to enhance the experience. May Allah accept our efforts, increase you in goodness, and keep you steadfast on the path of knowledge. BarakAllahu feekum, and may Allah accept from you and us.",5,4,5,5
200042116,A very reliable app with no problems 🤞🤞,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience—knowing that the app feels reliable and problem‑free brings great joy to our team, and we are grateful for your kind words. Your satisfaction encourages us to continue serving the Ummah with a tool that helps deepen the connection with the Qur’an.

If you wish to explore more of what the app offers, you might try the Quran Planner to set personalized reading goals, or browse the diverse recitations and translations to enrich your ibādah. Should you have any ideas for new features or encounter anything in the future, please submit your feedback at feedback.gtaf.org so we can keep improving. May Allah accept your good deeds and bless you abundantly. BarakAllahu feekum.",5,4,4,4
200042116,"Very good qur'an app, has a lot of features","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app; it warms our hearts to hear that you find it “very good” and packed with useful features. Al‑hamdulillah, we are grateful that the tools we have provided—such as the diverse recitations, Quran Planner, and study resources—are serving you in your journey with the Qur’an.  

If you wish to explore more, we invite you to try the Mushaf mode, the badge system, or the word‑by‑word analysis to deepen your connection with the Divine words. Should you have any ideas for new features or improvements, please let us know by submitting your feedback at feedback.gtaf.org so we can continue serving the Ummah better. May Allah accept our efforts and bless your reading. BarakAllahu feekum.",5,4,5,5
200042116,Such apps are a great help to the Muslim Ummah Allah bless the makers of such apps. Ameen.,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words and blessing the makers of the app; it warms our hearts to know that the app is a source of benefit for you and the Ummah. Your encouragement inspires us to continue serving the Muslim community with sincerity and humility.  

We invite you to explore more of the features—such as the Quran Planner, audio recitations, and topic searches—to deepen your connection with the Qur’an, and feel free to share the app with family and friends so they may also reap its blessings. Should you have any ideas for improvement or wish to provide detailed feedback, please submit them at feedback.gtaf.org. May Allah accept our efforts and increase you in goodness. BarakAllahu feekum.",5,4,5,5
200042116,"This app very helpful for bangal Muslim,.. and I'm also happy with this app.👌👌👍♥️🙂💯","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your happiness with the app; it warms our hearts to know that it serves the Bengali Muslim Ummah well and brings you ease in your ibādah. Your kind words encourage us to keep upholding the noble purpose of facilitating a deeper connection with the Qur’an and the Sunnah.  

We invite you to continue exploring features such as the diverse reciters, the Qur’an Planner, and the topic‑search tools that can further enrich your daily worship. Should you have any ideas for improvement or wish to share more feedback, please submit them at feedback.gtaf.org so we can serve you better. May Allah accept our efforts and bless your reading journey. BarakAllahu feekum.",5,4,4,4
200042116,Great app. Very practical. Complete package. Better than rest.,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the app. We are delighted to hear that you find it practical, complete, and superior to others—your satisfaction encourages us to continue serving the Ummah with valuable tools for Qur’an study, prayer, and Islamic knowledge.  

If you have any ideas for new features or improvements, please let us know by submitting your feedback at feedback.gtaf.org so we can consider them in future updates. May Allah accept your good intentions and bless your use of the app. BarakAllahu feekum.",4,4,4,4
200042116,Very nice app for islami people,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app; we are truly grateful to hear that it serves the needs of our Muslim brothers and sisters.

To deepen your experience, you may:  
1. Open the app and tap the **Mushaf Mode** to read the Qur’an in the familiar page layout.  
2. Choose a beloved reciter (e.g., Mishary Al‑Afasy) and enable the **repeat** option for memorisation.  
3. Set up a personal **Qur’an Planner** with a realistic daily goal and a reminder time, so you can stay consistent in your ibādah.  

By using these tools, you are performing a noble service (khidmah) to yourself and the Ummah, strengthening your connection with Allah’s words. Should you have any ideas for new features or encounter any issues, please submit your feedback at **feedback.gtaf.org** so we can continue to improve.  

May Allah accept your good deeds and grant you ease in your Qur’an study. BarakAllahu feekum.",4,4,3,3
200042116,It's perfect! I love this app!,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience—knowing that the app feels “perfect” to you fills our hearts with gratitude and reminds us of the blessing of serving the Ummah with beneficial knowledge. May Allah keep this ease and joy in your Qur’an journey.

To continue reaping the blessings, we invite you to explore a few features that deepen connection with the Qur’an:  
1️⃣ Open the side‑menu and tap **Qur’an Planner** to set a personalized reading schedule.  
2️⃣ Try the **Mushaf Mode** for a classic page‑by‑page view, and use the **repeat** option to aid memorisation.  
3️⃣ Discover the **Audio** section to listen to your favourite reciter or switch to an English translation while you read.  

May Allah accept your love of the Qur’an and increase it for you. BarakAllahu feekum.",4,4,3,3
200042116,Best al quran app as far i have used.need to regular monitor and update.thanks.may allah consider your struggle,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words and for praying for us; we are humbled by your appreciation of the app. It brings us great joy to know that you consider it the best Quran resource you have used, and we understand your desire for regular monitoring and timely updates to keep the experience smooth and beneficial.  

To help ensure you receive the latest improvements, please enable automatic updates for the app in your device’s app‑store settings, and regularly open the app to allow it to check for new content. You may also use the “Check for Updates” option within the app’s Settings menu, and if you have any specific suggestions or notice anything that needs attention, kindly submit them at feedback.gtaf.org so our team can address them promptly. May Allah accept our efforts in serving the Ummah and bless your continued journey with the Qur’an. BarakAllahu feekum.",5,5,5,5
200042105,So many features. Easy to navigate and excellent choice of reciters. Jazakhallah khairun,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair un jazīlan for sharing your wonderful experience—your kind words about the easy navigation and the rich selection of reciters truly warm our hearts. We are delighted to hear that the app is serving you well in your Qur’an journey, and we pray that it continues to bring you ease and blessings.  

To further enrich your experience, you might explore the **Qur’an Planner** to set personalized reading goals, or try the **Topic Explorer** to discover related ayahs and tafsīr that deepen understanding. Simply tap the planner icon in the main menu, choose a start‑date and duration that fits your routine, and let the app remind you daily. By using these tools alongside your favorite reciters, you can strengthen your ibādah and share the benefit with the Ummah. Should you have any suggestions or need assistance, please feel free to submit them at feedback.gtaf.org. May Allah accept your good deeds and grant you steadfastness in His Book. BarakAllahu feekum.",5,5,5,5
